"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 24 12:19:10 CET 2022","Thu Nov 24 12:19:16 CET 2022","5448","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","When The userWithEmptyUserName login","When The userWithEmptyUserName login",""
"skipped","Mon Oct 10 12:30:30 CEST 2022","Mon Oct 10 12:30:30 CEST 2022","1","","Log into Tello mobile application: As a user, I can log into my account","","Log into Tello mobile application: As a user, I can log into my account","Then I should see a flash message saying Your username is invalid!","Then I should see a flash message saying Your username is invalid!",""
"skipped","Thu Nov 24 12:19:06 CET 2022","Thu Nov 24 12:19:06 CET 2022","0","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","When The userWithEmptyCredentials login","When The userWithEmptyCredentials login",""
"passed","Fri Nov 11 17:31:44 CET 2022","Fri Nov 11 17:31:44 CET 2022","1","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","When The userWithEmptyCredentials fill username and password input and click Login button","When The userWithEmptyCredentials fill username and password input and click Login button",""
"passed","Sat Nov 12 12:39:58 CET 2022","Sat Nov 12 12:39:58 CET 2022","42","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Given The userWithEmptyUserName navigate to the login page","Given The userWithEmptyUserName navigate to the login page",""
"passed","Fri Nov 11 17:31:44 CET 2022","Fri Nov 11 17:31:44 CET 2022","1","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","When The userWithFakeCredentials fill username and password input and click Login button","When The userWithFakeCredentials fill username and password input and click Login button",""
"passed","Thu Nov 24 12:18:56 CET 2022","Thu Nov 24 12:18:56 CET 2022","2","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Then System should not allow access to userWithFakeCredentials","Then System should not allow access to userWithFakeCredentials",""
"passed","Thu Nov 24 12:19:16 CET 2022","Thu Nov 24 12:19:16 CET 2022","0","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Then System should not allow access to userWithEmptyUserName","Then System should not allow access to userWithEmptyUserName",""
"passed","Thu Nov 24 12:18:59 CET 2022","Thu Nov 24 12:18:59 CET 2022","3","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Then System should not allow access to userWithFakePassword","Then System should not allow access to userWithFakePassword",""
"passed","Fri Nov 11 17:31:44 CET 2022","Fri Nov 11 17:31:44 CET 2022","0","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","When The userWithEmptyUserName fill username and password input and click Login button","When The userWithEmptyUserName fill username and password input and click Login button",""
"passed","Fri Nov 11 17:14:26 CET 2022","Fri Nov 11 17:14:26 CET 2022","3","","Log into Tello mobile application: As a user, I can log into my account","","Log into Tello mobile application: As a user, I can log into my account","Given I am on the login page","Given I am on the login page",""
"passed","Sat Nov 12 12:39:58 CET 2022","Sat Nov 12 12:39:58 CET 2022","1","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Then System should not allow access to userWithEmptyPasswsord","Then System should not allow access to userWithEmptyPasswsord",""
"passed","Tue Nov 15 20:17:08 CET 2022","Tue Nov 15 20:17:08 CET 2022","0","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","","",""
"passed","Sat Nov 12 12:39:58 CET 2022","Sat Nov 12 12:39:58 CET 2022","363","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","When The userWithEmptyPasswsord login","When The userWithEmptyPasswsord login",""
"skipped","Wed Oct 12 11:55:52 CEST 2022","Wed Oct 12 11:55:52 CEST 2022","1","","Log into Tello mobile application: As a user, I can log into my account","","Log into Tello mobile application: As a user, I can log into my account","Then I should see a flash message saying <message>","Then I should see a flash message saying <message>",""
